tiempo,salida,entrada
1319.3,11.214163,10.0
1319.4,11.081472,10.0
1319.5,11.248077,10.0
1319.6,10.940486,10.0
1319.7,11.129159,10.0
1319.8,11.103259,10.0
1319.9,11.103922,10.0
1320.0,11.199992,10.0
1320.1,11.031848,10.0
1320.2,11.151264,10.0
1320.3,11.238568,10.0
1320.4,11.319901,10.0
1320.5,11.336265,10.0
1320.6,11.383609,10.0
1320.7,11.200891,10.0
1320.8,11.257780,10.0
1320.9,11.291779,10.0
1321.0,11.191062,10.0
1321.1,11.102263,10.0
1321.2,11.168217,10.0
1321.3,11.130328,10.0
1321.4,11.399722,10.0
1321.5,11.111817,10.0
1321.6,11.272497,10.0
1321.7,11.260493,10.0
1321.8,10.993719,10.0
1321.9,11.263469,10.0
1322.0,11.224909,10.0
1322.1,11.161502,10.0
1322.2,11.226970,10.0
1322.3,11.238565,10.0
1322.4,11.315289,10.0
1322.5,11.195561,10.0
1322.6,11.101741,10.0
1322.7,11.298861,10.0
1322.8,11.297924,10.0
1322.9,11.346453,10.0
1323.0,11.237566,10.0
1323.1,11.107517,10.0
1323.2,11.318026,10.0
1323.3,11.166925,10.0
1323.4,11.217359,10.0
1323.5,11.045211,10.0
1323.6,11.359464,10.0
1323.7,11.114437,10.0
1323.8,11.140613,10.0
1323.9,11.090463,10.0
1324.0,11.164682,10.0
1324.1,11.410175,10.0
1324.2,11.175937,10.0
1324.3,11.286788,10.0
1324.4,11.176183,10.0
1324.5,11.286398,10.0
1324.6,11.126361,10.0
1324.7,11.199705,10.0
1324.8,11.127552,10.0
1324.9,11.179391,10.0
1325.0,11.268266,10.0
1325.1,11.303401,10.0
1325.2,11.247471,10.0
1325.3,11.335532,10.0
1325.4,11.284189,10.0
1325.5,11.314354,10.0
1325.6,11.190821,10.0
1325.7,11.157324,10.0
1325.8,11.393561,10.0
1325.9,11.260915,10.0
1326.0,11.432066,10.0
1326.1,11.417886,10.0
1326.2,11.054095,10.0
1326.3,11.329493,10.0
1326.4,11.308579,10.0
1326.5,11.387980,10.0
1326.6,11.264566,10.0
1326.7,11.144099,10.0
1326.8,11.172686,10.0
1326.9,11.159227,10.0
1327.0,11.263860,10.0
1327.1,11.364671,10.0
1327.2,11.268318,10.0
1327.3,11.262722,10.0
1327.4,11.342796,10.0
1327.5,11.271893,10.0
1327.6,11.074769,10.0
1327.7,11.271468,10.0
1327.8,11.163689,10.0
1327.9,11.025001,10.0
1328.0,11.204190,10.0
1328.1,11.222243,10.0
1328.2,11.219311,10.0
1328.3,11.136911,10.0
1328.4,11.243477,10.0
1328.5,11.126284,10.0
1328.6,11.316689,10.0
1328.7,11.309726,10.0
1328.8,11.239033,10.0
1328.9,11.379390,10.0
1329.0,11.186997,10.0
1329.1,11.271090,10.0
1329.2,11.205308,10.0
1329.3,11.204716,10.0
1329.4,11.278652,10.0
1329.5,11.316438,10.0
1329.6,11.203980,10.0
1329.7,11.251973,10.0
1329.8,11.465042,10.0
1329.9,11.355048,10.0
1330.0,11.238703,10.0
1330.1,11.339670,10.0
1330.2,11.241983,10.0
1330.3,11.231147,10.0
1330.4,11.154703,10.0
1330.5,11.174293,10.0
1330.6,11.403983,10.0
1330.7,11.279086,10.0
1330.8,11.301869,10.0
1330.9,11.258042,10.0
1331.0,11.312250,10.0
1331.1,11.354357,10.0
1331.2,11.241788,10.0
1331.3,11.323776,10.0
1331.4,11.408108,10.0
1331.5,11.388026,10.0
1331.6,11.248029,10.0
1331.7,11.387455,10.0
